ID,YearsExperience,Salary
124,9.5,112970.6
125,6.4,76703.7
126,6.8,84503.3
127,5.7,82388.7
128,1.3,44922
129,2.2,43167.9
130,1.3,41795.5
131,8,89749.2
132,4.5,70663
133,6.6,82668.1
134,11,130358
135,3.7,58826.5
136,5.5,84341.1
137,9.3,107947.5
138,3.5,61591.2
139,1.8,40737.2
140,4.2,63532.4
141,2.8,50028.9
142,11.2,126210.8
143,9.9,118223.1
144,8,99789.9
145,10.6,126235.1
146,9.8,118312.1
147,3.1,58154.5
148,10.8,132243.6
149,6.9,84487.4
150,9.9,123089.4
151,10.9,120812.4
152,4.5,70641.8
153,2.2,49203.6
154,3.5,47303.8
155,5.7,79215.8
156,10,116710.6
157,10.5,119527.7
158,1.1,42574.9
159,6.6,83734.7
160,5.6,73178.6
161,3.4,57809.5
162,2.3,50592
163,4.7,68601
164,11.4,138835.6
165,4.6,70864.2
166,6.7,76045.6
167,8.7,104415.9
168,5,68955.5
169,11.7,137995.1
170,11.6,119666.1
171,3.8,74725
172,6.5,88956.4
173,4.3,66406.9
174,4.1,70514.6
175,1.4,51238.3
176,7.7,102531.4
177,6.5,91857.2
178,1.6,40380.2
179,4.1,62471.9
180,11,126051.3
181,3.6,54580.9
182,2.6,45518.1
183,6.4,77624.2
184,11.8,136331.8
185,3.7,50039
186,8.4,105234
187,9.4,113265
188,3.6,59822.1
189,9,107076.1
190,5,89735
191,8,107631.9
192,8,93193.8
193,6.9,91293.9
194,2,40283.7
195,10.2,115454.5
196,4.5,60149.4
197,3.1,56103.7
198,1.4,34726.4
199,7.5,101133.3
200,8.5,110287.9
201,1.2,43705.4
202,6.6,82763.4
203,3.5,60500.6
204,8.1,104900.3
205,2.9,49771.9
206,8.6,101805.1
207,5.3,83499.6
208,11.3,132943
209,2.5,52149.8
210,4.8,65154.8
211,2.2,39275.4
212,11.2,127235.3
213,10.7,124803.7
214,3.8,55159.9
215,8.3,102848.2
216,10,109805.9
217,7.1,85747.7
218,6.8,93106.9
219,3.7,62815
220,2,41784.8
221,10.9,121872
222,10.9,122150.9
223,8,98021.4
224,4.7,73144.3
225,4.8,75789.1
226,9,106984.3
227,10.9,121102
228,10.8,128008.2
229,9.6,110760.6
230,8.1,98139
231,1.9,50455.5
232,2.8,55724.7
233,10.9,128585.9
234,7.7,90223.6
235,1.1,36436.3
236,2.1,50788.5
237,8.3,101168.3
238,1.1,42379.8
239,2.8,58243.2
240,7,100642.5
241,8.6,107927.3
242,8.2,105354
243,3.5,65519
244,8.8,110830.7
245,3.6,56157.2
246,4.6,65615
247,9.2,113229.6
248,8.1,94610.3
249,10.3,121773.5
250,8.2,108788.7
251,7.3,81120
252,2,52616.5
253,5,78798.4
254,3.9,59294.8
255,3.7,62699.4
256,11.7,135459.8
257,5.3,82038.7
258,10.8,132521.2
259,7.9,92075.5
260,9.7,120202.4
261,6.5,85397.2
262,7.3,94730.3
263,6.4,81423.2
264,3.1,64369.2
265,8.9,115212.8
266,4.1,59347.5
267,1.3,29362.6
268,8.1,99238
269,2.9,55138.5
270,11.3,133401.7
271,11.5,140466.2
272,11.1,133815.2
273,5.1,78197.9
274,1.2,37732.7
275,11.2,123027.5
276,5.7,77713.4
277,11.6,140709.6
278,11.6,134177.9
279,10.4,125781.4
280,4.2,63123.5
281,5.2,68570.2
282,10.4,122083.7
283,4.5,68970.3
284,2.9,48250.2
285,7.1,90859.3
286,11.3,126357.5
287,8.7,112909
288,7.3,91909.2
289,2.1,52523.5
290,7.8,106776.7
291,11.9,136760.6
292,2.5,43220.5
293,6.7,76513.9
294,10.7,117269
295,9.1,103618.2
296,8.7,114461.1
297,8.7,107968.8
298,5,73845.8
299,4.2,52400.2
300,9.9,111731.8
301,9.9,123469.7
302,10.5,126033.6
303,11,128405.9
304,6.6,90610.6
305,6.5,95578
306,9.8,116044.5
307,8.1,102249.5
308,8.7,108344.3
309,9.8,130397.2
310,10.8,115074.1
311,4.7,73253.2
312,5.1,72697.9
313,2,47237
314,7.4,90734.1
315,1.4,37760.5
316,6.1,86675.1
317,7,108113.3
318,4.2,68602.6
319,7.5,90972.6
320,1.3,35099
321,1.4,35645
322,10,109765.8
323,5,69893.9
324,2.4,51604.1
325,6.7,81459.6
326,9.5,120201.8
327,3.4,59460.3
328,7.9,94941.5
329,1.9,42378.6
330,1.6,48608.3
331,6.8,93634.3
332,6.9,90546.1
333,8,99229.6
334,9,110203.4
335,11.7,132875.8
336,6.7,76197.5
337,4.6,79289.3
338,9.7,117826
339,4,64677.5
340,5.8,79605.2
341,1.9,38342.9
342,1.3,35893.7
343,11.6,125421.2
344,10.2,133931.5
345,8.7,99740.9
346,5.5,71037.8
347,2.9,49850.1
348,2.7,57762.7
349,3.8,60391.9
350,7,84477.5
351,8.9,115594.4
352,8.3,107013.2
353,4.1,66408.1
354,11.5,137558.4
355,9.1,124391.6
356,7.1,104142.2
357,7.7,94046.1
358,5.6,86996.2
359,3.7,62192.4
360,4.9,74092.3
361,9.3,103612.7
362,1.2,34841.6
363,2.3,41818.5
364,1.5,43710.7
365,1.4,44521.4
366,10.4,111622.3
367,8.7,107319.9
368,6.2,89861.8
369,2.1,43424.1
370,6.4,89478.4
371,6.2,85479.1
372,2.9,54213
373,5.8,77879.6
374,5.4,68919.4
375,7.8,92043.9
376,8,104282.6
377,1.5,39116.3
378,5.1,72464.4
379,7.9,96985.6
380,6.5,84892.3
381,10.4,129184.3
382,8.2,100894.4
383,2.8,43735.8
384,1.8,45792.3
385,8.1,99931.7
386,1.3,37229.6
387,7.4,104178.9
388,11.3,131919.7
389,7.3,95735.6
390,5.3,68055.7
391,8.1,99939.3
392,6,85341.8
393,7,82317.1
394,11.4,133286.1
395,5.2,74997
396,11.6,134444.4
397,11,134208.8
398,3.2,56520.8
399,1.8,49773.7
400,2.1,39217.8
401,1.2,36952.4
402,2,44587.8
403,8.5,99317.1
404,1.8,47045.8
405,4.5,80455.2
406,10.3,122027.5
407,1.3,39541.4
408,10,119434.4
409,4.1,59606.4
410,2.3,36399.6
411,8.7,102777
412,7.9,91892.6
413,10.7,135040.4
414,9.1,110064.8
415,9.8,115885.3
416,4.1,68587.7
417,3,46470
418,9.3,108035.9
419,9.9,118548.9
420,11.9,143013.7
421,5.5,79995
422,5.1,74357.9
423,9.5,115442.8
424,4.7,71962.7
425,11.2,132177.6
426,10.4,117770.1
427,5.7,79149.6
428,9.3,106346.8
429,9.3,113186
430,2.1,42330
431,10.9,142318.5
432,6.6,86595.8
433,10.1,112355.5
434,4.5,66816.8
435,10.9,130291.7
436,5.3,84113
437,1.1,32128.5
438,11,119563.2
439,2,48355.2
440,4.5,59770.3
441,11.5,130617.7
442,11.5,131672.7
443,7.3,93517.4
444,8,103831.2
445,5.9,77091
446,4.2,63246.6
447,4.6,68382.9
448,8.4,105042.7
449,9.3,113054.2
450,9.7,119020.6
451,9.7,121097.4
452,2,45974.6
453,6.4,88229.4
454,1.6,31433.5
455,7,91702.3
456,5.9,82876.5
457,10.8,130650.9
458,4.9,66904
459,2.3,42781.9
460,2.6,45951.7
461,9.4,116456.5
462,7.8,104343.2
463,2.1,42531.3
464,1.9,48118.4
465,8.7,107854.1
466,1.8,41166.8
467,10,118548.1
468,8.8,111886.8
469,1.9,44575
470,1.9,55843.5
471,11.9,132093.2
472,5.1,76100.7
473,5.1,69866.9
474,9.9,113927.2
475,11.4,132703.5
476,11.8,137560.6
477,9.3,128930
478,5.1,72380.4
479,1.9,36658
480,9.5,116608.9
481,7.1,80742.6
482,5.7,77881.6
483,11,128602.9
484,2.2,50300.5
485,6.4,90950.9
486,1.1,32662.4
487,6.2,82173
488,1.6,35866.7
489,2.3,40341.1
490,2.3,48247.9
491,8.1,94661.3
492,9.2,109530.6
493,7.4,89374
494,11.6,137389.4
495,5.1,83339.5
496,4.1,56719.3
497,10.6,114226.5
498,3.5,56842.5
499,11.6,134512.5
500,1.1,36784.4
501,11.7,132620.8
502,1.5,37662.6
503,10.8,128987.2
504,6.8,94970.6
505,11.9,126583.7
506,1.8,39906.2
507,7.1,93066.7
508,11.7,129923.4
509,6.8,98354.7
510,7.9,96170.6
511,8.7,106390
512,6,84656.8
513,7.9,96226.1
514,7.4,84711.3
515,10.9,125576.1
516,1.5,44779
517,4.1,61620.2
518,11.5,128359.7
519,10.8,132017.1
520,6,79813.8
521,7.8,95907.8
522,4.1,63967.6
523,3.1,58163.3
524,6.1,95818
525,4.9,75654.9
526,7.4,101454.8
527,1.9,39549.3
528,11.7,129849.4
529,11.8,137162.9
530,8.7,107471.1
531,6.9,83994.1
532,4.4,65493.2
533,10,121124.8
534,8.5,107491
535,2.8,54022.1
536,11,130615.7
537,10,116965.3
538,11.4,130155.7
539,9,103031.8
540,7.7,108042.9
541,5.6,77849.6
542,11.3,129997.5
543,10.5,119131.3
544,1.5,55414.9
545,1.3,31036.9
546,5.1,71033.2
547,9.9,120880.2
548,11.9,140281.5
549,2.7,55290.7
550,7.5,106166
551,5.2,76722.1
552,11.7,129215
553,10.3,120399.2
554,10.2,123163.5
555,6.2,94584.2
556,5.6,69601.9
557,4,69443.6
558,1.6,41164.5
559,10.5,128870.9
560,9.9,118228.5
561,12,133507.5
562,12,142097
563,7.1,95694.6
564,9.5,119669.8
565,11.4,132431.7
566,10.3,119264.4
567,3.7,51293.1
568,6,85714
569,2.4,50094.6
570,11.5,128070.6
571,7.7,94298
572,3.5,55455.3
573,8.4,95828.2
574,7.8,93979.8
575,4.9,65188.6
576,2.2,43795.8
577,8.4,99977.1
578,6.7,79285.6
579,9.5,125890.7
580,6.7,95373.2
581,10.4,118525.7
582,7.1,93192
583,7.2,94941.9
584,10.6,132086.5
585,5.4,71662.4
586,2.5,54336.1
587,1.3,34226.2
588,9.3,105324.1
589,7.8,102828.5
590,8.7,114704.9
591,3.3,70907.4
592,2.5,41765
593,1.2,39718.5
594,4.9,68450
595,7.5,100000.4
596,5.3,66848.7
597,5.8,72712
598,10.9,123946.3
599,4.8,70940.7
600,6.7,84142.2
601,9.6,119444
602,5.4,81261
603,7.8,102316.7
604,10.5,132992.8
605,11.4,135325.7
606,2.6,42781.4
607,11.2,138240.6
608,6.4,82069.4
609,3.8,66233.6
610,6.1,90825.5
611,11.8,138725.9
612,6.4,77139
613,4.6,63337.1
614,8,107536.7
615,3.6,58315.5
616,1.8,42629.1
617,2.4,51938.5
618,2.4,51502.3
619,2.7,51647.4
620,2.5,47562.3
621,8,99168.4
622,3,58001.9
623,4.8,73325.7
624,10.9,126080.1
625,6.2,89617.5
626,8.3,102968.9
627,2.9,47448.2
628,3.1,50042.3
629,1.4,33073.3
630,2.9,50335.6
631,4.1,70156.5
632,2.9,48196.2
633,2,44572.7
634,2.3,43166
635,6.1,80740.3
636,3.3,47302.2
637,5,70930.6
638,6.5,85545
639,8.6,109085.7
640,1.4,39633.2
641,9.8,110695.1
642,7.9,105631
643,1.9,43973
644,10.6,126215.7
645,11.1,129971.1
646,1.7,37751.9
647,4,64297.4
648,9.9,120761.9
649,9.2,102310.7
650,3,50466.3
651,3.3,54634.3
652,5.1,74241.1
653,6.3,91337.2
654,7.8,94249.9
655,5.1,69861.9
656,6.1,79512.3
657,9.2,107515.3
658,1.4,36169.9
659,3.8,64849.2
660,8.8,102557.4
661,10.8,129746.9
662,6.6,77969.7
663,6.9,86472.1
664,2.2,43596.1
665,5.9,90172.4
666,6.9,88126.8
667,3.7,47193.4
668,4,51108
669,5.2,73707
670,1.2,39816.8
671,4.5,69877.7
672,3.3,57215.1
673,4.6,74840.8
674,2.3,43730
675,10.8,131872.5
676,7.5,86875.5
677,8.5,99830
678,9.7,106227.1
679,6.5,84574.1
680,2,43074.8
681,6.9,90768.2
682,7.5,95646.1
683,9.2,106599.4
684,5.7,78105.1
685,2.4,39186.3
686,4.1,71419.8
687,5,70342.5
688,8.1,98707.1
689,7.3,102515.7
690,4.9,64367.6
691,11.9,130551.7
692,7.7,91138.1
693,3.6,58578.2
694,2.1,47292.1
695,2.7,54324.1
696,3.7,74248.1
697,2.8,38422
698,3.1,57095.8
699,4.1,60818.2
700,2.9,49041
701,10.9,124050.7
702,1.9,37556.5
703,6.8,98240.8
704,5.5,81668.9
705,11.8,136545.7
706,2.2,53499.5
707,5.4,67197
708,11.7,127632.8
709,10.5,112088
710,10,115321.3
711,3.8,62011.3
712,2.9,52637
713,8.4,104638.5
714,11.2,123015.7
715,7.1,96664.7
716,7.3,95057.1
717,4.1,67501.1
718,9.5,103702.2
719,3.1,55483.1
720,4.6,61302.4
721,5.7,76300.2
722,6.6,90052.2
723,3.7,60005.9
724,2.3,41473.6
725,7.7,97806.9
726,4.2,55736.8
727,7.4,101150
728,2.7,49196.1
729,6.3,90567.4
730,6.9,86716.2
731,1.6,36757.3
732,4.7,65014.7
733,2.5,53170.1
734,1.7,36918.8
735,11.9,140808.7
736,4.5,65668
737,9.9,107434.6
738,3.8,57578.7
739,8.5,98546.4
740,9.4,113513.1
741,7.6,89557.7
742,6.2,88496.4
743,5.5,76599.5
744,4.8,69569.7
745,11.2,134590.1
746,10.1,126030.9
747,11.6,134499.9
748,2.4,42906.2
749,9,100351.4
750,11.3,128001.8
751,3,49685.8
752,1.7,41809.1
753,9.2,109407.3
754,7.3,97861.3
755,10.3,118378.1
756,2.5,48508.5
757,9.7,123586.8
758,3.2,57168.7
759,2.8,50974.4
760,2.8,48007.4
761,10,115431.8
762,8.3,98688.5
763,6.8,85645.2
764,4.9,75824.1
765,10.6,124242
766,5.3,67544.7
767,10,129071
768,5.8,81735.3
769,5.1,65613.7
770,6.1,79922.7
771,4.3,66246.3
772,9.2,121544
773,6.5,80359.1
774,3.6,63894.6
775,10.9,135634.5
776,5.2,70688
777,7,89248.4
778,11,122730.5
779,7.9,98049.7
780,2.3,46245
781,11.3,135682.1
782,7.9,105644.5
783,4.7,64928.1
784,2.5,37774.1
785,9.7,116717.9
786,7.8,100395.9
787,6.9,91146
788,10.8,125391.1
789,9.7,116970.1
790,2.7,58539.1
791,4.4,68836.2
792,3.7,58040.6
793,9.2,108833.9
794,1.4,36834
795,7.3,102690.7
796,9.4,112530.4
797,10.6,125326.9
798,4.8,67160.3
799,10,125813.1
800,2.2,56757.8
801,10.3,124806.3
802,2.4,48013.4
803,5.4,75801.7
804,9.8,103843.5
805,2.6,54048.9
806,3.5,58879
807,8.9,111771.3
808,8.9,105167.1
809,8.1,98795.3
810,8.6,104135.3
811,7,96427.1
812,3.8,58354.5
813,4.8,81879.4
814,3,55584.6
815,11,121597.5
816,7.4,94222.6
817,5.4,72322.3
818,6.1,70052.4
819,11.4,141712.2
820,2.7,54171
821,7.4,98218.2
822,6.6,87810
823,7.7,90130.3
824,1.2,33476.3
825,10.6,129662.3
826,11.3,125313
827,7.2,78885.8
828,8.7,105444.7
829,11.1,129398.9
830,8.8,108573.4
831,2.7,54228.4
832,7.3,97768.6
833,7.7,98813
834,5.7,85071.8
835,9.1,102357.1
836,11.3,134246.8
837,11.2,134014.2
838,6,74231
839,2.2,37665.1
840,11.8,132500.6
841,10.2,117801.9
842,2.4,51469.9
843,11.1,126582.7
844,10.6,119934.8
845,6.7,84810.9
846,7.5,102016.4
847,5.4,75847.3
848,1.6,38988.2
849,4.7,68526.6
850,9.8,124979.7
851,1.1,30590.3
852,4.7,76321.6
853,5.4,76864.7
854,6.9,89263.1
855,11.1,143901.9
856,4.8,64397.5
857,4.8,68386
858,9.1,104069.3
859,6,86632.2
860,3.5,67091.7
861,6,90667.3
862,2.5,55784.6
863,2.9,51528.4
864,6.5,84060.8
865,5.6,68500
866,11.1,140780.7
867,5,74591.4
868,7.4,91899
869,8,107448.3
870,1.1,30219.6
871,8.3,105546.4
872,3,51839.6
873,11.6,137772.5
874,2.6,49396.1
875,5.6,69284.5
876,1.9,43592.8
877,12,143788.1
878,6.5,86337.7
879,7.5,100522.6
880,1.7,35424.1
881,9.2,112109.4
882,3.3,52625.5
883,10.9,131827.7
884,3.3,55798.4
885,3.1,57979
886,1.4,44180
887,6.2,87236.9
888,7.2,94540.4
889,1.7,35546.5
890,9.5,114898.3
891,6,78436.3
892,6.8,86884.3
893,5.8,78020.8
894,5.4,70477.5
895,7.2,81527
896,2.7,46699
897,3,54290.9
898,10.5,116341.3
899,11.4,132734.1
900,5.1,83729.9
901,4,68162.9
902,8.1,110432.4
903,5.5,78973.1
904,1.3,43465.8
905,2.7,46481.7
906,8.9,105120
907,8.2,87475.6
908,1.3,43747.7
909,3.4,65985.6
910,3.5,55224.9
911,8.4,102721
912,1.2,32131.4
913,2.1,47260
914,9.8,123739.8
915,3,43112.1
916,8.2,104440.4
917,3.6,57510
918,2.1,45269.2
919,3.7,62142.5
920,8.9,108325.1
921,10.4,122668.2
922,10.1,119403.2
923,5.4,81011.3
924,8.3,106087
925,3.3,56839.7
926,4.2,57663.5
927,10.9,125354.8
928,1.1,40675.1
929,1.9,43397.5
930,3.3,59596
931,1.3,46934.6
932,3,58966.2
933,7.4,95426
934,5.6,75247.6
935,10.8,112811.4
936,10,118329.4
937,4.8,68006.8
938,3.9,63448.1
939,5.2,72906.4
940,7.5,93867.5
941,3.9,52212.8
942,7.9,93921.8
943,5.5,79521.8
944,7.1,101278.6
945,5.8,79088
946,4.2,66740.9
947,11.4,138215.8
948,9.4,109140.1
949,2.5,50914.1
950,10.6,120434.2
951,6.4,89802.6
952,10.8,128133.1
953,9.8,119111.7
954,5.7,74122.6
955,1.2,40587.6
956,4,73884.9
957,7,84964.5
958,8,98248
959,3.8,62400.6
960,2.5,53181.8
961,10.2,117959.8
962,11.8,120783.9
963,6.8,96544.1
964,2.9,56396.9
965,4,52857.8
966,1.2,32812.3
967,11.1,138108.5
968,2.3,54634.5
969,7.3,99475.7
970,4,61801.3
971,7.1,92368.8
972,8.2,101280.9
973,10.1,126858.6
974,3.3,50857.8
975,1.1,30935.1
976,2.5,54176.9
977,10.9,127606.6
978,10.6,132847.1
979,7.6,92643.9
980,7.6,96415.3
981,8.3,98270.3
982,2.9,52569.1
983,11.1,121082.8
984,5.6,75102.3
985,5.2,66093.7
986,6.7,92119.9
987,1.5,43187.4
988,2.8,41907.5
989,9.1,118475.6
990,1.9,56870.7
991,7.6,97252.8
992,3.7,56217
993,5.3,90559
994,4.2,56932
995,4.9,71382.6
996,8.9,110047.1
997,4.3,72706
998,7.2,95187.3
999,6.2,80995
1000,8.3,97967.4
1001,11.3,129769.7
1002,9.1,104817.9
1003,3.4,56908.6
1004,1.3,34384.6
1005,3.9,53205.7
1006,7.5,103175.1
1007,1.6,36860.8
1008,6.5,78803.7
1009,7.6,95398.8
1010,4.7,69425
1011,9.5,104667.8
1012,2.2,47233.6
1013,1.8,36253
1014,9,119561.2
1015,6.5,88734.3
1016,8.6,103621
1017,5.8,75331.3
1018,3.7,59324.6
1019,10,122870.2
1020,9.8,117254.5
1021,8.6,105297.2
1022,4,62913.9
1023,7.5,92275.6
1024,5,69902
1025,2,32154.2
1026,11.1,135097.6
1027,2.5,50191.3
1028,11.5,128749.7
1029,5.9,91278.1
1030,3,54029.2
1031,7,84834.4
1032,10.6,129831.4
1033,9.1,112638.5
1034,9.9,120346.3
1035,8.2,100397.6
1036,8.6,108779.2
1037,10.3,121107.9
1038,3.7,63359.9
1039,6.4,74521.1
1040,3.4,54866.5
1041,11.9,146596.2
1042,11.4,128143.2
1043,1.4,35019.9
1044,8.8,105137.4
1045,11.2,123684.1
1046,3,40720.1
1047,7.2,92046.4
1048,11.1,130222.5
1049,1.4,37533.2
1050,8.7,105984.5
1051,4.3,65448.1
1052,11.2,136108.5
1053,11.7,134174.3
1054,11.4,129244
1055,6.2,82020.5
1056,10.5,127146.8
1057,10.3,129984.8
1058,4.5,63955.9
1059,10.1,121016.8
1060,1.4,40037.2
1061,7.6,90729.6
1062,3.5,58321.7
1063,2.3,38634.9
1064,1.8,32404.8
1065,8.7,108727.9
1066,4.7,67481.4
1067,9,110768.5
1068,1.7,40991.9
1069,4.5,61612.4
1070,6.9,90125
1071,9.7,109597.9
1072,4.5,75210.7
1073,7.9,91776.7
1074,10.7,125300.3
1075,7.8,92488.4
1076,3.6,61704
1077,1.3,34981.2
1078,10.6,121844.2
1079,1.2,41280.2
1080,10.6,125387.6
1081,6.8,92170
1082,11.3,126426.2
1083,9.8,109475.5
1084,12,138632.5
1085,4.9,68971.5
1086,9.4,117550.1
1087,5.4,75631.9
1088,6.3,85327.8
1089,7.9,90449.1
1090,10.6,135676.7
1091,11.8,135674.8
1092,9.5,118060.8
1093,5.6,73049.4
1094,5.6,79820.4
1095,9.1,103684
1096,3.6,61646.9
1097,2.2,43791.3
1098,4.9,71324.2
1099,4.2,68059.6
1100,4.3,58206.8
1101,3.6,54753.9
1102,1.5,41231.1
1103,1.2,47889.5
1104,11.9,136199.3
1105,5.7,82070.6
1106,5.2,73650.6
1107,8.5,115808.3
1108,3.4,47215
1109,11.4,133575.3
1110,9.6,106948.3
1111,2,29575.5
1112,5.6,79368.9
1113,10.7,126462.2
1114,11.4,130909.8
1115,6.1,82290.5
1116,7.7,115387.8
1117,2.8,50217.5
1118,11.9,140182.3
1119,3.5,54749.1
1120,11.4,133945.7
1121,8.1,100496.4
1122,7.7,95176.5
1123,6.6,97763.3
1124,3.5,64859.1
1125,2.9,53412.9
1126,3.4,44332.4
1127,3.1,51659.6
1128,9.6,130451.1
1129,4.9,69403.7
1130,1.6,46480.1
1131,11.7,143099.4
1132,10.7,127391.8
1133,11.2,126030.1
1134,11.9,124100
1135,2.9,56200.4
1136,5.4,70931.2
1137,9.3,114101.8
1138,8.7,99660.2
1139,2.7,48812.4
1140,10,119292.2
1141,3.5,59130.6
1142,3.5,51329.8
1143,6.9,96809.6
1144,7.5,92596.1
1145,7.4,85234.2
1146,2,43198.5
1147,10.7,125702.1
1148,3.9,62805.2
1149,2.4,55378.3
1150,10.8,125360.9
1151,11.5,132968.8
1152,10.5,117746.9
1153,9.9,123035.6
1154,8.2,103440.9
1155,7.1,89210.7
1156,2,32689.4
1157,5.5,84833.9
1158,5.1,66173.7
1159,3.9,57993
1160,9,111501.2
1161,6.5,79153
1162,1.9,34371.1
1163,3.4,45308.9
1164,8.5,109354.5
1165,1.8,39163.2
1166,10.4,139150.2
1167,6.4,80208
1168,6.3,79102.1
1169,7.5,92717
1170,10.1,121383
1171,4.8,67823.4
1172,8.5,108201.8
1173,7.2,87633.4
1174,3.9,54329.7
1175,10.7,115575.7
1176,9.8,104755.9
1177,8.2,99846.9
1178,10.4,121032.7
1179,10.5,120922
1180,8.8,114885.4
1181,10.2,128172.5
1182,8.7,104927.8
1183,8.5,94966.8
1184,7.8,95433.5
1185,9.3,109188.5
1186,2.7,47110.4
1187,10.7,121962.6
1188,10.6,121271.7
1189,1.3,35176.8
1190,10.1,116587.5
1191,2.4,48859.1
1192,4.7,71148.8
1193,9.2,106493.2
1194,2.8,58116.9
1195,10,113844.9
1196,10.2,111751.3
1197,6.6,89178.5
1198,1.1,30391
1199,4.2,65932.3
1200,7.8,84986
1201,11.8,144078.7
1202,7.9,103734.4
1203,3.9,52913.9
1204,8,91933.4
1205,6.9,99780.8
1206,9.6,111239.3
1207,2.2,40754
1208,9.4,100734.8
1209,7,88601
1210,11.6,133127.3
1211,4.8,73836.7
1212,8,92235.2
1213,11.3,122680.6
1214,2.1,47475.8
1215,11.3,137352.3
1216,8.6,97017.6
1217,1.7,47397.7
1218,4.3,65793.1
1219,8.8,114017.8
1220,1.7,40906.6
1221,7.4,80709.8
1222,4.8,69402.7
1223,7.8,104770.4
1224,1.5,34055.2
1225,10.6,122724.5
1226,11.7,134507
1227,11.7,118798.4
1228,9.2,121570.4
1229,2.4,42780
1230,9.3,115947.4
1231,1.3,36369.1
1232,1.2,43630.5
1233,4.6,70208
1234,6.4,83778.7
1235,9.5,109385.1
1236,8.5,109788
1237,5.9,70173.2
1238,4,66353.4
1239,12,131802.9
1240,5.7,85602.3
1241,6,82121.6
1242,2.8,54908.8
1243,9.7,117376.7
1244,8.6,96606.8
1245,3.4,52433.8
1246,1.9,46621.7
1247,8.5,105967.7
1248,8.2,108938.5
1249,4,64958.5
1250,11.5,127734.2
1251,2.7,45548.9
1252,5.8,79814.7
1253,11.4,119446.4
1254,5.6,87286.6
1255,8,103142.9
1256,5.4,82489.5
1257,4,53963.9
1258,11.8,143541.9
1259,5.5,89326.9
1260,10.8,119853
1261,3.5,62515.5
1262,3.3,56456.5
1263,1.3,28898
1264,8.2,104794.9
1265,5.1,77267.9
1266,10.5,120786.3
1267,6.2,90008
1268,11.7,125620.8
1269,3,45224.7
1270,10.6,125355
1271,9.5,115167
1272,9.5,110428
1273,10.3,126640.3
1274,9.4,116375.1
1275,7.9,104192.2
1276,2.4,47252.4
1277,1.4,41048.9
1278,11.1,127527.8
1279,7.8,109883.7
1280,9.8,112554.1
1281,6.3,96125.1
1282,2.3,46687.4
1283,2.4,39619.3
1284,8.5,113212.7
1285,5.7,79732.3
1286,3.2,59902.1
1287,6.4,92243
1288,1.7,42862.5
1289,7.4,91482
1290,4,67716.1
1291,9.8,117208.3
1292,4.4,70395.5
1293,6,69574.3
1294,1.1,38005.6
1295,1.8,38258
1296,5.3,84343.1
